Season,WTeamID,WTeamName,WKenPom,LTeamID,LteamName,LKenPom,KenPomDiff
2002,1373,Siena,-1.21,1108,Alcorn St,-8.71,7.5
2002,1104,Alabama,18.73,1194,FL Atlantic,-2.5,21.23
2002,1112,Arizona,20.54,1364,Santa Barbara,8.87,11.67
2002,1181,Duke,34.19,1457,Winthrop,-5.31,39.5
2002,1231,Indiana,24.8,1428,Utah,14.08,10.72
2002,1242,Kansas,28.99,1221,Holy Cross,-0.24,29.23
2002,1245,Kent,20.39,1329,Oklahoma St,15.8,4.59
2002,1246,Kentucky,22.21,1434,Valparaiso,13.63,8.58
2002,1281,Missouri,-2.62,1274,Miami FL,15.77,-18.39
2002,1323,Notre Dame,19.27,1150,Charlotte,15.73,3.54
2002,1326,Ohio St,19.76,1172,Davidson,3.7,16.06
2002,1332,Oregon,22.97,1285,Montana,-4.51,27.48
2002,1390,Stanford,20.32,1443,WKU,14.51,5.81
2002,1409,Tulsa,15.59,1266,Marquette,21.47,-5.88
2002,1423,UNC Wilmington,11.32,1425,USC,20.67,-9.35
2002,1448,Wake Forest,17.35,1337,Pepperdine,11.72,5.63
2002,1461,Wyoming,11.01,1211,Gonzaga,18.51,-7.5
2002,1143,California,16.03,1335,Penn,12.23,3.8
2002,1153,Cincinnati,30.19,1131,Boston Univ,-2.74,32.93
2002,1163,Connecticut,19.36,1214,Hampton,3.99,15.37
2002,1166,Creighton,11.82,1196,Florida,24.72,-12.9
2002,1208,Georgia,18.44,1293,Murray St,1.35,17.09
2002,1228,Illinois,23.21,1361,San Diego St,9.29,13.92
2002,1268,Maryland,29.25,1373,Siena,-1.21,30.46
2002,1280,Mississippi St,18.25,1270,McNeese St,5.39,12.86
2002,1301,NC State,19.15,1277,Michigan St,16.86,2.29
2002,1328,Oklahoma,26.04,1227,IL Chicago,3.85,22.19
2002,1338,Pittsburgh,19.94,1148,Central Conn,0.93,19.01
2002,1356,S Illinois,17.49,1403,Texas Tech,17.24,0.25
2002,1400,Texas,17.69,1130,Boston College,9.97,7.72
2002,1417,UCLA,16.34,1279,Mississippi,16.68,-0.34
2002,1458,Wisconsin,13.22,1385,St John's,9.06,4.16
2002,1462,Xavier,18.6,1218,Hawaii,13.15,5.45
2002,1112,Arizona,20.54,1461,Wyoming,11.01,9.53
2002,1181,Duke,34.19,1323,Notre Dame,19.27,14.92
2002,1231,Indiana,24.8,1423,UNC Wilmington,11.32,13.48
2002,1242,Kansas,28.99,1390,Stanford,20.32,8.67
2002,1245,Kent,20.39,1104,Alabama,18.73,1.66
2002,1246,Kentucky,22.21,1409,Tulsa,15.59,6.62
